Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1920,22.4,26.7,38.5,47.1,56.3,67.7,70.9,71.6,65.6,57.6,41.3,35,50.1
1921,31.8,32.7,48.4,55.3,59,69.4,75.5,68.7,69.1,52.9,42.6,31.1,53
1922,26.2,32.3,40,49.6,62,70.2,72,69.8,65.5,55.4,42.6,31.4,51.4
1923,29,24.8,37.1,48.6,58,71.3,70.7,69.5,65.5,52.3,41.1,39.5,50.6
1924,30.8,27.3,37.5,46.8,55.7,65.8,71.2,70.9,60.8,53,41.1,31.6,49.4
1925,26.1,36.3,41.9,50.5,56.6,73,71.3,70,66.8,47.7,40.2,32.5,51.1
1926,29.1,28.4,33.9,45.3,58.3,64,72.1,71.7,63.6,51.9,40.9,27.3,48.9
1927,27.9,34.9,41,46.4,57.3,64.5,71.8,66.2,64.6,55.4,46.4,34.3,50.9
1928,30.9,30.6,37.2,46.2,57.1,66.1,73.4,73.8,61.4,54.7,43.6,34.8,50.8
1929,29.4,30.2,44.1,50.4,59,68.9,72.2,69,66,51,42.9,32.5,51.3
1930,30.5,34.5,38.9,46.5,61.7,70.3,73.6,70.2,68.6,51.2,42.6,31.7,51.7
1931,30.3,32.1,37.8,48.6,59.6,68.5,75.9,72.4,69.6,57.2,48.7,38.4,53.3
1932,41,34.3,35.2,47.2,59.7,68.4,73,72.5,65.4,55,40.4,34.8,52.2
1933,37.3,32.1,36.9,49.3,62.5,70.2,72.6,71.8,67,52.6,39.2,30.8,51.9
1934,32.4,17.2,35.3,48.4,61.5,71.8,75,69,66.2,51.7,45.7,31.7,50.5
1935,27,28.9,42.1,47.3,56.6,68,75.1,71.7,62.4,53.5,46.1,27.3,50.5
1936,25.6,22.7,44,46.8,62,68,73.4,73.2,65.8,54.3,39.5,36.1,51
1937,38,32.5,34.6,48.1,61.4,69.5,73.5,74.2,62.2,52,42.1,31.8,51.7
1938,29.8,34.1,42,51.8,58.2,67.5,73.6,74,62.6,54.7,44.3,33.6,52.2
1939,29.6,35.2,38.4,47.1,62.2,69.9,72.3,74.1,65.2,53.6,39.8,33.9,51.8
1940,20.5,30.3,33.2,44.5,58.8,67.8,73.1,68.4,62.3,49.7,42,35.9,48.9
1941,28,28,33.2,54.4,61.8,68.5,73,70.1,66.7,58,45.2,36,51.9
1942,27.7,28.2,41,52.1,63.4,69.1,73.7,70.5,65.2,54.7,43.4,28.8,51.5
1943,28.9,31.7,38.5,44.5,60.9,73.6,73.3,72.4,63.8,52.2,40.9,30.1,50.9
1944,31.2,31,36.1,47,64.6,69.7,74.9,73.2,65.9,52.6,42.3,29.4,51.5
1945,23,30.8,48.8,53.3,57.7,68.8,72.6,70.2,67.9,52.8,44.8,27.6,51.5
1946,31.2,31,46.8,49,60,67,72.2,68.2,66.4,57.5,46.7,35.5,52.6
1947,35.6,26.7,34.9,49.4,59.1,66.6,72.7,73.4,65.9,59.2,40.1,30.8,51.2
1948,22.8,28.3,41,49.4,59.1,68.1,73.8,72.2,65.3,52.5,48.2,34.5,51.3
1949,36.7,36.7,41,50.4,60.4,71.1,77,73.5,62.7,58.7,42.3,35.8,53.9
1950,39.7,30.3,35.3,46.4,57.8,67.6,72.1,70.2,61.7,56.3,44.5,30.9,51.1
1951,33.2,33.5,39.8,50.2,60.4,67.7,73.5,71.3,64.7,56.2,39.7,35.4,52.1
1952,33.9,34,38,52.1,58.3,70.9,76.3,71.7,65.1,50.8,43.6,35.3,52.5
1953,34.9,36,41.4,49.9,62.2,69.6,74,71.6,66.1,55.8,43.8,37.2,53.5
1954,28.6,37.7,39.7,52.3,57.6,69.2,73.3,70.6,65.1,57.8,41.6,33,52.2
1955,28.3,31.6,40.4,52.2,62.6,66.6,78.4,75.5,64.6,56.2,41.3,27.3,52.1
1956,29.4,34.5,35.9,46.4,57.3,69.4,71.1,71.2,62.6,54.7,43.8,39.1,51.3
1957,26.3,34.9,39.5,51.9,60.7,72,73.8,69.9,66.7,52.1,45.2,36.9,52.5
1958,28.9,25.3,37.6,51,57.7,65.2,74.9,71.6,64.2,52.9,44.7,26.4,50
1959,29,30.4,38.6,51.6,63.3,69.6,73.8,74.2,68.1,57.5,43,35.5,52.9
1960,32,34.2,30.6,53.6,59.4,68.8,71.6,72.5,65.1,53.5,45,26.5,51.1
1961,23.3,32.6,40,46.5,57.3,68.6,73.8,72.3,70.8,55.9,45,31.8,51.5
1962,29.3,28.8,38.6,50.2,61.5,69.4,70.6,70.2,61.4,54.2,40,28.6,50.2
1963,26.6,25,41.1,50.1,58.4,68.6,73.6,69.8,61,57.2,47.2,27,50.5
1964,31,29.3,40.8,47.6,62.1,68.5,74,69.6,65.3,51.3,45.5,34.3,51.6
1965,26.4,30.8,36.8,46.9,64,67.8,72.1,71.5,66.5,51.8,42.6,35.4,51.1
1966,27.9,30.3,40.5,45.9,57.2,69.9,75.3,73,63.2,52.1,45,33.4,51.1
1967,34.3,27.4,36.2,49.1,53.3,69.8,72.9,71,62.7,53,39.3,34.9,50.3
1968,25,27.2,41.6,51.6,57.2,68.2,74.3,73.4,66.4,56.1,43.9,30.9,51.3
1969,28.1,30,36.8,52.1,60.8,70.1,72.4,73,65.2,53.2,42.4,30.9,51.3
1970,22.4,30.9,36,48.8,61.2,68.1,73.7,73.5,67.8,56.1,45.4,33.1,51.4
1971,25.3,32.1,37.8,47.7,57.2,70,72.9,71.3,67.9,59.8,42.6,38.9,52
1972,32.4,29.1,37.8,46.7,59.7,65.7,74.3,71.6,65.9,49.7,41.2,37.5,51
1973,32.6,30.5,44.7,51,57.3,71.5,74.5,74.4,66.5,56.1,45.3,36.6,53.4
1974,33.5,29.9,41,52.5,59.2,66.6,73.6,72.6,64.4,50.5,44.7,36.6,52.1
1975,34.5,33.5,38.3,45.3,63.1,69.1,73.5,73,62.2,57.6,48.9,34.4,52.8
1976,26,37.7,43.2,52.8,59,71.4,71.8,71.3,63.7,50,38.3,28,51.1
1977,19.4,31.5,45,52.2,62.3,67,74.6,72.8,66.6,52.4,45.9,32.1,51.8
1978,26.5,22.5,36.4,48.8,57.8,68.4,71.6,74,63.4,52.7,45.2,35.5,50.2
1979,30.4,21.2,43.4,49.2,61.5,66,72.9,72.3,65.2,53.1,47.9,36.4,51.6
1980,30.5,28,37.8,51.6,62.4,67,75.3,75.6,68.2,52.4,40.8,30,51.6
1981,23,36.1,38.2,53,60.6,69.9,74.9,71,64.4,50.8,43.6,32.3,51.5
1982,22.2,32.6,38.9,47.7,61.6,66,73.7,69.5,64.4,54.1,46.6,39.7,51.4
1983,31.5,32.6,42.1,49.3,58.6,69.4,75.7,74.4,66.7,54.5,44.9,31.8,52.6
1984,25.3,37.6,34.5,48.7,59.1,71.1,72.4,73.4,62.6,58.7,43.1,40.2,52.2
1985,25.4,33.1,42.5,52.9,62.7,66.5,73.4,71.7,66.7,56,48.3,30.8,52.5
1986,30.7,29.6,41.6,50.3,63.1,69.2,74.2,70.4,64.5,55.4,42.4,35.9,52.3
1987,29.3,30,42.2,50.4,61,71.1,75.9,71.2,65.4,49.9,45.5,36.7,52.4
1988,25,32.3,41.3,48.5,60.1,68.8,76.5,75.4,63.4,49.3,45.3,33,51.6
1989,34.3,32.4,39.7,48.6,59.4,71.2,73,71.8,66,55.4,43.1,22.7,51.5
1990,38,38.3,43.3,50.4,58.5,69.2,74.4,72.6,63.9,58.7,46.6,39.5,54.5
1991,31.6,37.3,43,52.4,66,70.9,75,74.2,64.8,55.1,44.9,37.5,54.4
1992,32.8,34.6,38,48.3,57.7,66.7,72.5,69.4,64.8,50.8,43.9,35,51.2
1993,35.1,28.4,36.6,50.3,61.9,69.3,76.3,73.6,65.1,52.4,43.9,33.8,52.2
1994,23.7,28.4,38.7,53.7,58.3,72.2,76.8,70.1,64.2,52.7,48.6,38.9,52.2
1995,35.6,28.8,43.3,49.4,59,69.4,76.1,74.3,65.5,57.8,40.5,29.8,52.5
1996,28.8,32,36.5,50.5,58.3,70.1,71.7,71.9,66.2,54.1,39.8,38.4,51.5
1997,30.3,38,41.2,48.4,57.1,67.8,74,71,64.4,54.2,42.1,36.1,52.1
1998,38.8,39.1,43.2,52.4,63.3,68.5,74.4,74.1,68.2,55.2,44.7,40,55.2
1999,33.1,35.4,40,50.8,60.5,70.6,78.4,73.8,67.2,53,48.6,37.6,54.1
2000,30,35.3,45.6,49.8,62,70.3,71,71,64.4,54.9,43,29,52.2
2001,29.8,35,38.2,51.4,61.6,71,71.1,75.5,64.8,55.4,48.8,41.1,53.6
2002,36.9,38.4,42.9,53.9,59.2,70.1,76.1,75.8,67.8,54.1,43.2,33.3,54.3
2003,26.4,28.2,41.3,48.5,56.9,67.4,74.5,75.1,66.9,52.9,48.5,35.5,51.8
2004,24.6,33.1,42.8,51.9,66,69,73.2,72.4,67.6,53.6,46.4,35.6,53
2005,30.1,34.2,37.1,52.5,56.6,72.1,76,76.4,70.2,56.3,47.4,32.5,53.5
2006,38.7,34.2,41.8,53.4,61.4,70.1,76.7,74.2,64.3,53.6,49.6,41.7,55
2007,36.7,27.1,40.9,48.6,62.8,70.6,73.7,73.4,68,62.1,43.5,35.6,53.6
2008,34.3,35.2,41.7,53,57.9,73,76,71.3,67.4,53.4,43.7,36.6,53.6
2009,26.9,35.1,40.8,52.5,61.3,67.6,72,74.9,64.7,53.4,49.2,34.4,52.7
2010,31.2,31.1,46.2,55.5,64,73.9,78.3,74.9,69.2,56,45,30.8,54.7
2011,27.2,34.4,41.2,53.9,63.7,71.9,78.4,73.5,68.9,55.8,48.9,40.5,54.9
2012,35.6,38.9,49.8,52.6,65.1,70,77.8,74.7,67,56.8,41.5,40.6,55.9
2013,33.9,32.8,38.6,51.5,60.9,71.2,77.8,71.4,64.4,57.1,42.9,36,53.2
2014,26,29.5,35.4,50.3,62,70.6,74.1,70.8,66.9,57,42,38.7,51.9
2015,27.9,22.3,35.9,51.5,66.1,70.3,75.2,74.3,70.7,54.5,49.7,48,53.9
2016,31.4,36,47,50.7,60.2,70.6,77.2,76.9,69.7,56.7,46.7,36.3,55
2017,36.2,40.4,38.9,55.9,60,70.4,75.5,71.6,68.2,60.4,44.4,33.2,54.6
2018,29.2,39.4,38.3,48,65.2,70.1,76.2,76.8,70.2,56.4,42.5,37.8,54.2
2019,31.6,34.7,39.4,54.8,62.8,70.6,78,74.5,69,58.2,41.3,36.4,54.3
2020,37.3,39.1,46.3,48.7,59.1,71.5,78.8,75.5,66.8,57,49.2,37,55.5
2021,33.6,32.1,44,52.6,60.8,71.8,75.7,75.9,68.7,61.1,43.6,41.4,55.1
